"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"1","Year",12.5992171143024,12.6186442921416,9.89838521822178,14.9719448725279,1,"Confirmed"
"2","Dreamcast",0.251465077057939,0.289739401035725,-1.31610884835544,2.21211003720546,0,"Rejected"
"3","Wireless",0.919330048455114,0.872003182813507,-0.313980428858908,2.13887624434079,0,"Rejected"
"4","Saturn",4.65943177523738,4.71302773871654,2.56953665599974,6.47777261192807,0.858585858585859,"Confirmed"
"5","Android",6.07170205539886,6.03711993255059,4.35283574232105,7.97554033349585,0.97979797979798,"Confirmed"
"6","iPad",4.16465818864013,4.25481323682243,1.12950985087844,6.4362928144685,0.777777777777778,"Confirmed"
"7","iPhone",7.73911580619641,7.75158922449125,5.48138863593511,9.69754409965485,0.98989898989899,"Confirmed"
"8","Arcade",2.25222147701881,2.16922816702921,0.868260269619067,3.42075319010985,0,"Rejected"
"9","GameCube",0.346799648492946,0.609882984170764,-1.71326801858432,2.2716726682105,0,"Rejected"
"10","Genesis",3.89714565767747,3.87096833151367,1.63993699915696,6.14857741748333,0.626262626262626,"Confirmed"
"11","Macintosh",13.0291898045155,13.0070665137032,9.37042342841634,16.332030021342,1,"Confirmed"
"12","PC",11.8031526998316,11.8505649064883,8.93053727744771,14.0348192051183,1,"Confirmed"
"13","Nintendo",3.06561281232859,3.16803279547657,0.115488905295199,5.45744112816681,0.434343434343434,"Rejected"
"14","GameBoy",6.05420535829549,5.95134635097268,4.13586326267171,8.73215014676371,0.94949494949495,"Confirmed"
"15","NES",2.86786899836189,2.98750591763952,-0.32280778142147,5.78558504245749,0.373737373737374,"Confirmed"
"16","PlayStation",2.66535283170868,2.79748903684146,0.603453395046788,5.17595057159555,0.0707070707070707,"Rejected"
"17","Xbox",3.0653937828274,3.18542996642472,0.654195922162076,5.20809991516894,0.424242424242424,"Rejected"
"18","Wii",4.21645599517891,4.18294660683872,2.01245741343502,7.07678937667584,0.737373737373737,"Confirmed"
"19","otherPlatform",0.805973997597912,0.64488387590294,-0.305805759887174,2.2973285103043,0,"Rejected"
"20","Flight",0.189908058959584,0.117101849198807,-1.16107905929866,2.66317439290419,0,"Rejected"
"21","Music",0.102897185845254,0.137562173956872,-1.55278113438122,1.82376291526499,0,"Rejected"
"22","Simulation",0.0556016500941695,0.234794039166238,-1.63577333898708,1.86686677645196,0,"Rejected"
"23","Fighting",2.4579948139509,2.88669764677173,0.292545976848714,4.49286347574621,0.0303030303030303,"Rejected"
"24","Platformer",3.17233119337518,3.15945294262869,-0.280199878558428,5.57403906220649,0.474747474747475,"Confirmed"
"25","Puzzle",1.06338911761925,1.3995877249648,-1.32506897597154,2.97592519331595,0,"Rejected"
"26","Strategy",3.57700085792738,3.56409819314092,1.4267773864951,5.6035894656605,0.585858585858586,"Confirmed"
"27","Adventure",4.552266151701,4.53424687466098,2.40688324712175,8.04285444195309,0.787878787878788,"Confirmed"
"28","RPG",4.10595457341228,4.07706418495321,2.43456736732557,6.30755024448902,0.747474747474748,"Confirmed"
"29","Racing",5.86284325958081,5.9142330414847,3.94580424262063,8.35056031932536,0.929292929292929,"Confirmed"
"30","Shooter",1.17205812493654,1.44613600456346,-2.01915188363398,3.42260687204782,0,"Rejected"
"31","Sports",5.26618193446527,5.38200995158342,3.09973558595545,7.24221072917035,0.888888888888889,"Confirmed"
"32","Action",7.68845420650516,7.72312522283173,4.96744234445661,9.95060711993433,1,"Confirmed"
"33","otherGenre",3.79964901622745,3.79497196819581,1.37460504925428,6.18879351562562,0.626262626262626,"Rejected"
"34","anger",15.2778185091771,15.4855943888556,12.5062455718615,18.3604427323411,1,"Confirmed"
"35","anticipation",16.1874316655074,16.1763814317372,13.1457628352037,18.6594938572126,1,"Confirmed"
"36","disgust",12.5093555842679,12.4436527326682,9.31827577619169,15.2983562657971,1,"Confirmed"
"37","fear",14.6688636667014,14.813147076451,10.9474148365939,17.8758859885343,1,"Confirmed"
"38","joy",15.2043883942614,15.3383382007367,11.8963654010128,18.2711511998567,1,"Confirmed"
"39","sadness",13.4183989309276,13.2845478275645,10.5008188794003,16.9109784571783,1,"Confirmed"
"40","surprise",10.6607032113889,10.6722476345102,8.20257427095453,13.4781266423875,1,"Confirmed"
"41","trust",17.477222197728,17.5805501998028,14.2314825471268,19.5366987825155,1,"Confirmed"
"42","negative",15.8235442442325,15.8202757216802,12.2333917187169,18.4899339906093,1,"Confirmed"
"43","positive",19.194574386122,19.4257446177222,14.2322624077394,22.53497601481,1,"Confirmed"
"44","V1_April",0.0915558863931446,-0.0991024271859259,-1.58230812776658,2.10894291377806,0,"Rejected"
"45","V1_August",-0.00712128820183794,-0.361229121583022,-1.55404546428143,2.07667709854199,0,"Rejected"
"46","V1_December",-0.529110826238918,-0.415472575358125,-3.03399723192481,1.15080211141545,0,"Rejected"
"47","V1_January",3.78180613136634,3.76974624150169,0.58922400781994,6.32932747154774,0.626262626262626,"Rejected"
"48","V1_July",-0.62816936258626,-0.662304758365831,-2.85927396508419,0.673254678123373,0,"Rejected"
"49","V1_June",-0.620805916945421,-0.636921121989796,-2.43394551969107,1.55676764504778,0,"Rejected"
"50","V1_March",-0.228176183975013,-0.429178985578171,-1.32004676914071,1.59741983086295,0,"Rejected"
"51","V1_May",-0.11726241415901,-0.250848669167223,-1.48919352134268,2.11386431081165,0,"Rejected"
"52","V1_November",0.35475759795094,0.192257342289496,-0.681816192780554,1.920668405249,0,"Rejected"
"53","V1_October",0.0815735970380509,0.136374722423091,-2.6841675159326,3.47184505164326,0,"Rejected"
"54","V1_September",1.35980596824215,1.40951674962861,-0.204821015776058,3.45996851295838,0,"Rejected"
"55","`V1_ E`",8.73344219999305,8.77831123251286,5.09760131580325,10.8118668670663,1,"Confirmed"
"56","`V1_ E10+`",1.70846899466125,1.70610432594184,-0.23547514615337,4.78429937346885,0.0101010101010101,"Rejected"
"57","`V1_ M`",6.01560070326718,5.96722775990594,3.75224966807001,8.44005385763124,0.909090909090909,"Confirmed"
"58","`V1_ RP`",-0.0271497154286547,0.201722275611536,-1.82828805651006,1.61614019608799,0,"Rejected"
"59","`V1_ RP-M+`",0.952237904686571,1.17322404193525,-0.802487487255964,1.83554092289272,0,"Rejected"
"60","`V1_ RP-T+`",-0.041420262350188,0.119774452074605,-1.33560664325154,1.34398190407312,0,"Rejected"
"61","`V1_ T`",3.67984894641483,3.71544324834834,0.98650762902506,6.21724398886602,0.595959595959596,"Confirmed"
"62","V1_E",0.884233098420472,0.902045269763199,-1.05051560083177,2.94565414841966,0,"Rejected"
"63","`V1_2K Games`",0.008001410019038,0.268786804158469,-1.50777973266877,0.732149240347902,0,"Rejected"
"64","V1_3DO",3.22925961030012,3.1640908913689,1.32769437356152,6.34920457435827,0.484848484848485,"Confirmed"
"65","`V1_Acclaim Entertainment`",7.24507673610226,7.23830768551733,3.77963595366612,10.1880389861098,0.98989898989899,"Confirmed"
"66","V1_Activision",0.787547711834296,0.651587283111267,-0.669445453327265,2.66259464832712,0,"Rejected"
"67","V1_Agetec",0.202283727310186,0.209899608438457,-0.952485740038462,1.78278383578513,0,"Rejected"
"68","`V1_Aksys Games`",1.36273395731717,1.38234644751535,-0.290398618146123,2.89473115672464,0,"Rejected"
"69","V1_Atari",0.422584045285209,0.266356634102816,-1.42403006288153,2.02853860172631,0,"Rejected"
"70","`V1_Atari Corp. (1984-2003)`",0.911849617547023,1.00100150250438,0,1.41698006249974,0,"Rejected"
"71","V1_Atlus",0.106801599810717,-0.0661922273077554,-1.0039866869694,1.50580450672865,0,"Rejected"
"72","`V1_BAM! Entertainment`",-0.846218604933627,-0.72412226460393,-2.51360489534032,1.08527074023707,0,"Rejected"
"73","`V1_Bandai Namco Games`",0.907061430635832,0.908406599082567,-0.993429378399258,2.50021427278677,0,"Rejected"
"74","`V1_Bethesda  Softworks`",0.112776815014531,0.0204688629231779,-1.89190367435713,1.54467151241792,0,"Rejected"
"75","`V1_Blizzard Entertainment`",3.49601772227467,3.55790045724056,2.14473915825025,4.62664452288386,0.585858585858586,"Confirmed"
"76","V1_Capcom",2.79613911102616,2.87807607294198,0.0306150526100566,5.04976712752637,0.363636363636364,"Confirmed"
"77","`V1_cdv Software Entertainment`",0.223008840469451,0.0826032147658919,-0.962390394453479,1.47574703616437,0,"Rejected"
"78","V1_Codemasters",-0.489205494298891,-0.754103334331377,-2.28401263490077,2.7841441462442,0,"Rejected"
"79","`V1_Crave Entertainment`",3.27607876540843,3.16211899729128,0.451432849239951,5.46033913137937,0.484848484848485,"Rejected"
"80","`V1_D3 Publisher`",0.162592623463309,0.10951924479259,-0.987506996929571,1.64720930142171,0,"Rejected"
"81","`V1_Deep Silver`",4.01856275975585,3.88962153093857,1.90615547084247,6.00265409809625,0.767676767676768,"Confirmed"
"82","`V1_Disney Interactive Studios`",0.624313814036539,0.737369380725084,-1.81382021021961,2.55800788484717,0,"Rejected"
"83","`V1_DreamCatcher Interactive`",1.44099445773585,1.42971028273092,-1.35762835643494,3.43861620905639,0.0101010101010101,"Rejected"
"84","`V1_Eidos Interactive`",-1.56253339658328,-1.46969650611483,-3.87007972226996,-0.229016358905579,0,"Rejected"
"85","`V1_Electronic Arts`",2.28964639104526,2.20242297164851,0.828680643457271,3.99788703887012,0,"Rejected"
"86","`V1_Focus Home Interactive`",-1.19143966674984,-1.23472859457379,-2.62661798403258,0.481668361857216,0,"Rejected"
"87","`V1_Fox Interactive`",-1.35802339777364,-1.53209629860307,-3.54937713871735,1.62798878338572,0,"Rejected"
"88","V1_Gameloft",-1.11221435862818,-1.21969186002584,-2.35383203395508,0.493455023092848,0,"Rejected"
"89","`V1_Gathering of Developers (aka GOD Games)`",-1.95219933553054,-1.96338021895204,-3.3418520527666,-0.755214373231724,0,"Rejected"
"90","`V1_GT Interactive`",0.2544273727761,0.516198423949097,-1.90218146143198,2.11598182259162,0,"Rejected"
"91","`V1_Hasbro Interactive`",-1.37438192073625,-1.17348066873717,-2.89702997571693,0.444382200288831,0,"Rejected"
"92","`V1_Hudson Soft`",0.293786719537795,0.340597935490559,-1.95247826909975,2.21640799068166,0,"Rejected"
"93","V1_Infogrames",2.34494076352571,2.28233268687078,0.681478804177445,3.97699278998579,0.0101010101010101,"Rejected"
"94","V1_Interplay",-0.746087784183652,-0.69010276002754,-1.69336912416962,0.348436784009095,0,"Rejected"
"95","V1_Koei",0.557399765874673,0.652363695173342,-1.13469650975724,2.20677725696382,0,"Rejected"
"96","V1_Konami",0.0194559335648387,-0.166166519838601,-1.49449314959161,1.83135861059566,0,"Rejected"
"97","V1_LucasArts",0.170062644074528,0.157531062844394,-1.26829425847537,1.72017799977923,0,"Rejected"
"98","V1_Majesco",3.2961417421853,3.18991269534214,1.00881720769529,5.53570908111451,0.474747474747475,"Rejected"
"99","V1_Microsoft",2.0054444701501,2.03196943043306,-1.5987166978202,4.3159277108553,0.0202020202020202,"Rejected"
"100","`V1_Microsoft Game Studios`",0.494443880083607,0.622714504817869,-1.28083748008599,1.840642767333,0,"Rejected"
"101","`V1_Midway  Games`",2.6782634567701,2.65138908192607,0.904637914097967,4.66607105940321,0.0303030303030303,"Rejected"
"102","V1_Namco",3.64668508240605,3.6874323916886,1.00958473208563,5.40964007498171,0.575757575757576,"Confirmed"
"103","V1_Natsume",0.0240254938232594,0.204656913819273,-1.29224138924815,1.68033752422032,0,"Rejected"
"104","V1_Nintendo",18.7251278883087,18.8404362783619,15.4624799439286,21.2432081905322,1,"Confirmed"
"105","V1_NIS",-1.19551332294138,-1.26351761059312,-2.52422096435208,0.43058651756425,0,"Rejected"
"106","V1_other",12.5261801800992,12.6935341810279,9.99066337727598,15.5196581938432,1,"Confirmed"
"107","`V1_Paradox  Interactive`",-0.804428088751991,-1.10047109197637,-2.04835772812641,1.05747498107425,0,"Rejected"
"108","V1_Psygnosis",-1.6903014550151,-1.58843201219313,-3.29113102033364,0.741883181189563,0,"Rejected"
"109","`V1_Rockstar  Games`",9.8767222545111,9.99690966261706,7.4734202527443,11.765773710811,1,"Confirmed"
"110","V1_SEGA",0.80605674899321,0.693531954574409,-0.702158735203061,2.33183667390606,0,"Rejected"
"111","V1_Sierra",-0.372146926758803,-0.0748734893475805,-2.47351792330333,1.60753883039819,0,"Rejected"
"112","`V1_SNK [1978-2001]`",5.88794923342839,5.93690809863504,3.81017940055695,7.3138420523639,0.94949494949495,"Confirmed"
"113","`V1_Sony Computer Entertainment`",11.7258241300931,11.7333570130111,9.176528693596,13.9906043956396,1,"Confirmed"
"114","`V1_Sony Online Entertainment`",1.31666349880585,1.59793676803525,-0.952190750442483,2.23428952600786,0,"Rejected"
"115","`V1_SouthPeak Games`",5.98654296465276,5.95589062943601,3.49867368295137,8.01361477631466,0.939393939393939,"Confirmed"
"116","V1_Square",-0.210578247793892,-0.3512866262137,-2.07019501711925,2.0936471662925,0,"Rejected"
"117","`V1_Square Enix`",0.351778231952111,0.442544410298199,-1.88055143675947,2.35748135864547,0,"Rejected"
"118","`V1_Strategy First`",-0.222693960368518,-0.449582785166602,-1.49949950198243,0.890489150267826,0,"Rejected"
"119","V1_Sunsoft",1.08211371651109,0.94649447500942,-0.68432617487242,2.96057404287371,0,"Rejected"
"120","V1_Taito",2.63510618899606,2.519913152088,1.38228323256245,4.38208592733926,0.0101010101010101,"Rejected"
"121","`V1_Take-Two Interactive `",-0.7251102741749,-0.714795170926493,-2.09759912149616,1.12504986753899,0,"Rejected"
"122","`V1_Team17 Software`",0.909331466915213,0.952314316320405,-0.677101373288193,2.34395550310851,0,"Rejected"
"123","V1_Tecmo",-1.99718083752473,-2.22961241622658,-3.95923859447225,0.83343501352393,0,"Rejected"
"124","V1_THQ",2.36518235194693,2.68269571946877,0.0283254628446784,3.83020882474306,0.0202020202020202,"Rejected"
"125","V1_Ubisoft",1.11473290360558,1.24950430161959,-1.00038189750531,2.82248456367449,0,"Rejected"
"126","`V1_Vivendi Games`",0.688454266429237,0.609359256128627,-1.2821933713145,2.07127701929191,0,"Rejected"
"127","`V1_Warner Bros.  Interactive`",-0.717231966905824,-0.878319974688906,-2.6542090927364,1.20938591211458,0,"Rejected"
"128","`V1_Xseed Games`",0.090045003673834,0.192633598576728,-1.78223126592141,1.20026868681077,0,"Rejected"
"129","V1_3DO.1",6.10644072588091,6.03543583284783,3.89661207782546,8.11962252906451,0.97979797979798,"Confirmed"
"130","`V1_A2M (Artificial Mind and Movement)`",6.80693299979873,6.90324155586615,3.78624938963036,8.50204452740465,1,"Confirmed"
"131","`V1_ARC System Works`",0.593284277183644,0.503488510141964,-0.426945834936177,1.88829620996841,0,"Rejected"
"132","`V1_Argonaut Games`",-0.841307048992433,-0.809146344936514,-1.82175669134742,0.622466275290008,0,"Rejected"
"133","V1_Atlus.1",1.19868919157832,1.35004854085949,-0.961005700171444,2.55504979361755,0,"Rejected"
"134","`V1_Bandai Namco Games.1`",-1.29830710548679,-1.47599717119656,-2.99758532517793,0.511741057297753,0,"Rejected"
"135","`V1_Bethesda Game Studios`",-2.24084854797956,-2.2454682107003,-3.83265518163109,-0.711896289851042,0,"Rejected"
"136","V1_BioWare",3.4193648619325,3.45820002035156,1.84037354323388,4.75538030063277,0.545454545454545,"Rejected"
"137","`V1_Blitz Games`",1.87787065060333,1.77537591606499,0.626711523029611,3.37877093912866,0,"Rejected"
"138","`V1_Blizzard Entertainment.1`",3.0066330412501,2.99304878340903,2.0901814492871,3.77354016608088,0,"Rejected"
"139","`V1_Bungie Software`",0.828798080422436,0.903473659025039,-0.580891968741448,1.54621929362274,0,"Rejected"
"140","V1_Capcom.1",0.362174549765161,0.379864433365341,-1.71876815182455,2.01248909884521,0,"Rejected"
"141","`V1_Capcom Production Studio 1`",1.21600636090912,1.47745612776209,-0.897970474204425,2.25934558557257,0,"Rejected"
"142","`V1_Capcom Production Studio 2`",1.67699570932662,1.50785921446399,-0.297994162636473,4.48013181867184,0.0101010101010101,"Rejected"
"143","`V1_Climax Studios`",1.59801645973268,1.64910248135912,-0.385394309316173,3.61058851228894,0.0101010101010101,"Rejected"
"144","V1_Codemasters.1",1.92761091404447,1.88863628492941,0.460550551893697,3.22822155556942,0,"Rejected"
"145","`V1_Creative Assembly`",-0.642633344984027,-0.661505123629545,-1.84367298147346,2.05490975600745,0,"Rejected"
"146","`V1_Crystal Dynamics`",1.87753349593029,1.82482577947193,0.646014311748818,3.1683099411893,0,"Rejected"
"147","V1_CyberConnect2",1.45966487762562,1.71054204721507,-0.493292483727003,2.33451661971011,0,"Rejected"
"148","`V1_Data Design Interactive`",-0.549403720998313,-0.777110816778103,-2.02498424729883,1.78405708602101,0,"Rejected"
"149","`V1_Data East`",0,0,0,0,0,"Rejected"
"150","`V1_DICE  (Digital Illusions CE)`",0.838994614059483,0.882402720605205,-0.997518545724393,2.03764438977516,0,"Rejected"
"151","`V1_Digital Eclipse Software`",1.31546980382348,1.4723795772254,-0.517785478835737,2.28147679034548,0,"Rejected"
"152","V1_Dimps",-1.93830911557746,-2.22175617772995,-3.43937797780956,-0.187352397036111,0,"Rejected"
"153","`V1_Double Fine Productions`",-0.112465122930692,-0.0209957819844963,-2.36895771388655,1.95682125976826,0,"Rejected"
"154","`V1_EA Canada`",1.19459828521513,1.03477157805231,-0.420766711102638,2.86016246836894,0,"Rejected"
"155","`V1_EA Los Angeles`",-0.05497707611232,0.0447457913216066,-1.94503185669532,1.56853790332689,0,"Rejected"
"156","`V1_EA Tiburon`",0.14028380825084,0.0168885836248168,-1.75021951416244,1.77247347915307,0,"Rejected"
"157","`V1_Electronic Arts.1`",0.617434434975996,0.766358804263737,-1.00239359276222,2.14600660404822,0,"Rejected"
"158","`V1_Epic Games`",-1.94549300881305,-2.13419318202576,-3.15829585767243,-0.0244407487786752,0,"Rejected"
"159","V1_Eurocom",-0.101177145903475,0.0411646147828258,-1.75914282523354,0.90027138566422,0,"Rejected"
"160","V1_Firaxis",1.87815933982398,1.85178786893446,1.10820293724476,2.44310272189507,0,"Rejected"
"161","V1_FromSoftware",0.645221937036585,0.614701678444865,-1.58741304882532,2.77420945484739,0,"Rejected"
"162","`V1_Frontier Developments`",-0.510863958916694,-0.705413450631755,-1.63268308720699,0.877815341665432,0,"Rejected"
"163","`V1_Game Freak`",1.83898722065831,2.04976638657864,-0.113937105522155,2.92338456032589,0,"Rejected"
"164","V1_Gameloft.1",-1.20908781658415,-1.46041579192913,-2.18525696059789,1.79571138149918,0,"Rejected"
"165","`V1_Gearbox Software`",0.350628194903642,0.573538514407546,-1.99969878732368,1.61967984771516,0,"Rejected"
"166","V1_Genki",-0.242052721377371,-0.259111062742897,-2.06336144793852,1.47762713995766,0,"Rejected"
"167","`V1_HAL Laboratory`",1.84515785232885,2.24686731205281,-0.133956903213828,3.17089210278079,0,"Rejected"
"168","V1_Harmonix",3.66805851957881,3.65731427813773,2.15477071014943,4.89833630218746,0.676767676767677,"Rejected"
"169","`V1_High Voltage Software`",-2.27439365597857,-2.47170368495261,-3.63008380123223,-0.487964316264303,0,"Rejected"
"170","`V1_Hudson Soft.1`",1.99418710260981,2.03949521939233,0.0265938265843302,3.95591497581036,0.0101010101010101,"Rejected"
"171","V1_Independent",-0.413582041057995,-0.144517723993253,-2.30276967460252,1.25764391298864,0,"Rejected"
"172","`V1_Insomniac Games`",1.80172436589081,1.76503086501023,0.120869239359729,3.70563439803216,0.0101010101010101,"Rejected"
"173","`V1_Intelligent Systems`",2.0220292481735,2.07064836556659,-0.0844848485166813,3.2348554889017,0,"Rejected"
"174","`V1_Irem Software Engineering`",-1.2067309855977,-1.15626153392174,-2.11917904608625,0.0703521254666441,0,"Rejected"
"175","V1_Koei.1",-1.06740578592975,-1.29616741693278,-2.19950232391669,0.756972221989123,0,"Rejected"
"176","`V1_Kojima Productions [2005-2015]`",1.60033885983441,1.68641085953093,-0.778989787147534,3.07870990497302,0,"Rejected"
"177","V1_Konami.1",-1.56189497030825,-1.70135616890246,-3.69030619782553,-0.216059577098485,0,"Rejected"
"178","`V1_Konami TYO`",-0.770123913481888,-1.00258072159403,-2.95980080375966,1.55333910956381,0,"Rejected"
"179","`V1_Level-5`",-0.65268908418218,-0.560603610805239,-2.65803369165773,1.12013696972303,0,"Rejected"
