"","rn","meanImp","medianImp","minImp","maxImp","normHits","decision"
"1","Year",14.8179282159445,14.8277294988475,11.1980781905913,18.0228298029396,1,"Confirmed"
"2","Dreamcast",1.05613455826979,1.42086668519325,-1.60752922080395,1.99280311234121,0,"Rejected"
"3","Wireless",1.01405289520307,1.08136312333668,-1.05564282312853,2.92408802074583,0,"Rejected"
"4","Saturn",7.75517943480474,7.80705613375638,5.93450203241062,9.68216289194879,1,"Confirmed"
"5","Android",6.47551991395783,6.43340490223833,3.98485873727445,8.72306799403178,0.98989898989899,"Confirmed"
"6","iPad",2.4218658626132,2.45364305230906,0.888685052779917,4.06352567397705,0.0101010101010101,"Rejected"
"7","iPhone",8.52709277033758,8.49391345216777,5.44391047239255,10.8067366513817,0.98989898989899,"Confirmed"
"8","Arcade",2.55586316536241,2.70884330492878,1.30131450842059,3.75186283017957,0,"Rejected"
"9","GameCube",1.14158045376957,1.34358886710293,-0.441393122000733,2.52513414031143,0,"Rejected"
"10","Genesis",4.14692506615467,4.37727952532538,2.09032171650237,6.48235874785492,0.787878787878788,"Confirmed"
"11","Macintosh",15.0841658226151,15.1077305278821,12.8431796958363,17.5943105601091,1,"Confirmed"
"12","PC",11.696723129648,11.6915323369664,9.31506220374019,13.9979182763873,1,"Confirmed"
"13","Nintendo",3.99575086012494,4.02481082777609,1.33535134865527,5.99145004296078,0.717171717171717,"Confirmed"
"14","GameBoy",7.52933038826829,7.50485082161203,4.87904947318435,9.45747092992266,0.97979797979798,"Confirmed"
"15","NES",4.10177986006897,4.1361570462352,1.09729074904729,6.26057029233528,0.727272727272727,"Confirmed"
"16","PlayStation",3.22099427065081,3.20511118421349,0.907094846985269,6.33880381250244,0.484848484848485,"Rejected"
"17","Xbox",3.87787405593617,3.95677450103043,1.71433494213388,6.428347968156,0.676767676767677,"Confirmed"
"18","Wii",5.05323008680724,5.07665916668528,2.28863858423788,8.02011600058439,0.858585858585859,"Confirmed"
"19","otherPlatform",2.38258211935108,2.4407024938071,0.284721704602407,4.61357217951322,0.0101010101010101,"Rejected"
"20","Flight",0.244932409520209,0.185368713303284,-2.03056192064745,2.16223452774888,0,"Rejected"
"21","Music",0.774728547510674,0.709571135910318,-1.68290743905717,3.0356164069922,0,"Rejected"
"22","Simulation",0.172894251771631,0.178927213405555,-1.977582666037,1.42662176170842,0,"Rejected"
"23","Fighting",3.11318451622734,3.03854869390143,0.51037308436299,5.64871352544679,0.424242424242424,"Confirmed"
"24","Platformer",3.73866528194985,3.81195466009542,1.19676609213023,5.9270605424906,0.666666666666667,"Rejected"
"25","Puzzle",1.60781494404687,1.78880404790867,-0.0603242962295773,2.98249833599702,0,"Rejected"
"26","Strategy",5.01100434279726,5.01663549215722,2.49725441420346,7.05233620815675,0.898989898989899,"Confirmed"
"27","Adventure",4.9623572027109,4.86558099889429,3.07583733540908,8.05589576093806,0.898989898989899,"Confirmed"
"28","RPG",3.56459440749178,3.63466834774113,0.667775259569105,6.06695791014328,0.626262626262626,"Confirmed"
"29","Racing",6.11012857415114,6.11855943128514,3.57058393344339,8.94613418886495,0.96969696969697,"Confirmed"
"30","Shooter",1.30579697018393,1.00038290861549,0.332925218393506,2.6942302741488,0,"Rejected"
"31","Sports",4.8344752753847,4.87900520558717,2.72652258393367,7.4616582186495,0.878787878787879,"Confirmed"
"32","Action",7.39885376465238,7.505610139053,4.91671278131211,9.87709255151753,0.98989898989899,"Confirmed"
"33","otherGenre",3.12501270201815,3.06407751550609,0.119242588518927,5.62595961018946,0.494949494949495,"Rejected"
"34","anger",12.5868362931954,12.6114387752433,9.61151346831694,15.7569791949192,1,"Confirmed"
"35","anticipation",15.4556474208833,15.6067667424735,12.2289851010018,17.5606711297954,1,"Confirmed"
"36","disgust",9.26147681809725,9.12103549745059,6.61463716767781,12.3142028247277,1,"Confirmed"
"37","fear",13.272417767338,13.3068606936263,10.4066692973388,16.0841214122544,1,"Confirmed"
"38","joy",11.3080708780587,11.2990786707123,8.49613003125183,14.411452815356,1,"Confirmed"
"39","sadness",12.0384270965332,12.0576714512817,9.71493548714877,14.4524067709631,1,"Confirmed"
"40","surprise",10.8534150868035,10.7936949888403,8.85221028786138,12.9299870435824,1,"Confirmed"
"41","trust",14.3904662651011,14.4320447325582,11.5613096305644,17.132580056757,1,"Confirmed"
"42","negative",15.5659083419531,15.6643995752241,11.9971565214065,18.3786978207056,1,"Confirmed"
"43","positive",16.3388881167731,16.4717429926529,12.0395644327619,21.2406364360433,1,"Confirmed"
"44","V1_April",-0.0756411630438764,0.0438404412200428,-1.46240030772927,1.25711848133499,0,"Rejected"
"45","V1_August",0.462867511700402,0.108274903554306,-0.680324432396192,2.40047295785644,0,"Rejected"
"46","V1_December",-0.983217999176154,-0.825182724577589,-2.23594176602662,0.169340763744598,0,"Rejected"
