"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"1","A Boy and His Blob","WayForward Technologies","Majesco","released",NA," E",7.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,3,1,2,1,1,4,3
"2","A Boy and His Blob: Trouble on Blobolonia","other","other","June","1989","E",4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,4,3,5,1,2,5,4,19
"3","A Bug's Life","Traveller's Tales","Sony Computer Entertainment","November","1998"," E",4,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,11,19,5,14,14,7,8,17,23,39
"5","A Game of Thrones: Genesis","other","Focus Home Interactive","September","2011"," T",6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,3,0,1,0,1,3,3
"6","A Hat in Time","other","other","December","2017"," T",8,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,18,4,12,10,6,5,13,15,26
"7","A Kingdom for Keflings","other","other","TBA",NA," E",8.2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,7,0,2,3,2,0,4,5,17
"8","Brain Age Express: Arts & Letters","Nintendo","Nintendo","August","2009"," E",7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,3,4,4,2,7,6,14
"9","Brain Age Express: Math","Nintendo","Nintendo","April","2009"," E",7.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,1,3,4,4,2,7,6,14
"10","Brain Age Express: Sudoku","Nintendo","Nintendo","August","2009"," E",8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,4
"11","A Plague Tale: Innocence","other","Focus Home Interactive","May","2019"," M",7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,14,8,19,10,7,9,14,25,27
