"","game_name","developer","publisher","Month","Year","age_rating","game_rating","Dreamcast","Wireless","Saturn","Android","iPad","iPhone","Arcade","GameCube","Genesis","Macintosh","PC","Nintendo","GameBoy","NES","PlayStation","Xbox","Wii","otherPlatform","Flight","Music","Simulation","Fighting","Platformer","Puzzle","Strategy","Adventure","RPG","Racing","Shooter","Sports","Action","otherGenre"
"1","A Boy and His Blob","WayForward Technologies","Majesco","released",NA," E","7.6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","1","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"2","A Boy and His Blob: Trouble on Blobolonia","Absolute Entertainment","Jaleco","June","1989","E","4.5","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"3","A Bug's Life","Traveller's Tales","Sony Computer Entertainment","November","1998"," E","4","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","1","0"
"4","A Collection of Intellivision Classic Games","Activision","Activision","October","1999"," E","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"5","A Game of Thrones: Genesis","Cyanide","Focus Home Interactive","September","2011"," T","6","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"6","A Hat in Time","Gears for Breakfast","Gears for Breakfast","December","2017"," T","8","0","0","0","0","0","0","0","0","0","1","1","1","0","0","1","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"7","A Kingdom for Keflings","NinjaBee","NinjaBee","TBA",NA," E","8.2","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"8","Brain Age Express: Arts & Letters","Nintendo","Nintendo","August","2009"," E","7.9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"9","Brain Age Express: Math","Nintendo","Nintendo","April","2009"," E","7.9","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"10","Brain Age Express: Sudoku","Nintendo","Nintendo","August","2009"," E","8","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
