,game_name,url
0,A Boy and His Blob,https://en.wikipedia.org/wiki/A_Boy_and_His_Blob
1,A Boy and His Blob: Trouble on Blobolonia,https://en.wikipedia.org/wiki/A_Boy_and_His_Blob:_Trouble_on_Blobolonia
2,A Bug's Life,https://en.wikipedia.org/wiki/A_Bug%27s_Life
3,A Collection of Intellivision Classic Games,NA
4,A Game of Thrones: Genesis,https://en.wikipedia.org/wiki/A_Game_of_Thrones:_Genesis
5,A Hat in Time,https://en.wikipedia.org/wiki/A_Hat_in_Time
6,A Kingdom for Keflings,https://en.wikipedia.org/wiki/A_Kingdom_for_Keflings
7,Brain Age Express: Arts & Letters,https://en.wikipedia.org/wiki/Brain_Age_Express
8,Brain Age Express: Math,https://en.wikipedia.org/wiki/Brain_Age_Express
9,Brain Age Express: Sudoku,https://en.wikipedia.org/wiki/Brain_Age
10,A Plague Tale: Innocence,https://en.wikipedia.org/wiki/A_Plague_Tale:_Innocence
11,Lost in Shadow,https://en.wikipedia.org/wiki/Lost_in_Shadow
12,A Sound of Thunder,https://en.wikipedia.org/wiki/A_Sound_of_Thunder
13,A Space Shooter for Two Bucks!,NA
14,A Topsy Turvy Life: Turvy Drops,NA
15,A Vampyre Story,https://en.wikipedia.org/wiki/A_Vampyre_Story
16,A Virus Named Tom,NA
17,A Way Out,https://en.wikipedia.org/wiki/A_Way_Out
18,A World of Keflings,https://en.wikipedia.org/wiki/A_World_of_Keflings
19,A-Train,https://en.wikipedia.org/wiki/A-Train
20,Attack on Titan 2,https://en.wikipedia.org/wiki/Attack_on_Titan_2
21,Attack on Titan,https://en.wikipedia.org/wiki/Attack_on_Titan
22,A.P.B.,https://en.wikipedia.org/wiki/All-points_bulletin
23,A.R.E.S.: Extinction Agenda,https://en.wikipedia.org/wiki/A.R.E.S.:_Extinction_Agenda
24,AC/DC Live: Rock Band Track Pack,https://en.wikipedia.org/wiki/List_of_Rock_Band_track_packs
25,AGEOD's American Civil War: 1861-1865 -- The Blue and the Gray,NA
26,AI Wars: The Awakening,NA
27,AMA Superbike,https://en.wikipedia.org/wiki/AMA_Superbike_Championship
28,AMF Bowling: Pinbusters,NA
